round,agent,num_complaints,fitness
0,a07:Fisherman,0,1.609139
0,a08:Fisherman,10,1.859139
0,a09:Fisherman,10,1.859139
0,a10:Fisherman,0,1.859139
0,a11:Fisherman,10,1.859139
0,a12:Fisherman,10,1.859139
0,a13:Fisherman,0,1.859139
0,a14:Fisherman,10,1.859139
0,a15:Fisherman,0,1.859139
0,a16:Fisherman,10,1.859139
0,a17:Fisherman,10,1.859139
0,a18:Fisherman,0,1.859139
0,a19:Fisherman,10,1.859139
0,a20:Fisherman,0,1.859139
0,a21:Fisherman,0,1.859139
0,a22:Fisherman,0,1.859139
0,a03:Fisherman,10,1.859139
0,a04:Fisherman,10,1.859139
0,a05:Fisherman,10,1.859139
0,a06:Fisherman,0,1.859139
1,a07:Fisherman,0,1.594889
1,a24:Aquaculture,0,12.875000
1,a08:Fisherman,10,1.844889
1,a09:Fisherman,10,2.094889
1,a10:Fisherman,10,2.094889
1,a11:Fisherman,10,1.844889
1,a12:Fisherman,10,2.094889
1,a13:Fisherman,10,1.844889
1,a14:Fisherman,10,1.844889
1,a15:Fisherman,10,2.094889
1,a16:Fisherman,10,1.844889
1,a17:Fisherman,10,2.094889
1,a18:Fisherman,10,2.094889
1,a19:Fisherman,10,2.094889
1,a20:Fisherman,10,2.094889
1,a23:Aquaculture,0,12.875000
1,a21:Fisherman,10,2.094889
1,a22:Fisherman,10,2.094889
1,a26:Aquaculture,0,12.875000
1,a27:Aquaculture,0,12.875000
1,a25:Aquaculture,0,12.875000
1,a03:Fisherman,10,2.094889
1,a04:Fisherman,10,2.094889
1,a05:Fisherman,10,1.844889
1,a06:Fisherman,10,2.094889
2,a07:Fisherman,0,1.740246
2,a24:Aquaculture,0,12.875000
2,a08:Fisherman,6,1.740246
2,a09:Fisherman,6,2.240246
2,a10:Fisherman,6,1.740246
2,a11:Fisherman,6,1.740246
2,a12:Fisherman,6,1.990246
2,a13:Fisherman,6,1.740246
2,a14:Fisherman,6,1.740246
2,a15:Fisherman,6,2.240246
2,a16:Fisherman,6,1.740246
2,a17:Fisherman,6,1.990246
2,a18:Fisherman,6,2.240246
2,a19:Fisherman,6,2.240246
2,a32:Aquaculture,0,12.875000
2,a20:Fisherman,6,2.240246
2,a23:Aquaculture,0,12.875000
2,a21:Fisherman,6,2.240246
2,a22:Fisherman,6,2.240246
2,a26:Aquaculture,0,12.875000
2,a29:Aquaculture,0,12.875000
2,a30:Aquaculture,0,12.875000
2,a31:Aquaculture,0,12.875000
2,a27:Aquaculture,0,12.875000
2,a25:Aquaculture,0,12.875000
2,a03:Fisherman,6,2.240246
2,a04:Fisherman,6,2.240246
2,a28:Aquaculture,0,12.875000
2,a05:Fisherman,6,1.740246
2,a06:Fisherman,6,2.240246
3,a07:Fisherman,0,1.841675
3,a24:Aquaculture,0,12.875000
3,a08:Fisherman,0,1.841675
3,a09:Fisherman,0,1.841675
3,a34:Aquaculture,0,12.875000
3,a10:Fisherman,0,1.716675
3,a11:Fisherman,0,1.716675
3,a35:Aquaculture,0,12.875000
3,a12:Fisherman,0,1.841675
3,a13:Fisherman,0,1.841675
3,a14:Fisherman,0,1.841675
3,a15:Fisherman,0,2.341675
3,a16:Fisherman,0,1.841675
3,a17:Fisherman,0,1.841675
3,a18:Fisherman,0,2.341675
3,a19:Fisherman,0,2.341675
3,a33:Aquaculture,0,12.875000
3,a32:Aquaculture,0,12.875000
3,a20:Fisherman,0,2.341675
3,a23:Aquaculture,0,12.875000
3,a21:Fisherman,0,2.341675
3,a22:Fisherman,0,2.091675
3,a36:Aquaculture,0,12.875000
3,a26:Aquaculture,0,12.875000
3,a29:Aquaculture,0,12.875000
3,a30:Aquaculture,0,12.875000
3,a37:Aquaculture,0,12.875000
3,a31:Aquaculture,0,12.875000
3,a27:Aquaculture,0,12.875000
3,a25:Aquaculture,0,12.875000
3,a03:Fisherman,0,2.341675
3,a04:Fisherman,0,1.841675
3,a28:Aquaculture,0,12.875000
3,a05:Fisherman,0,1.841675
3,a06:Fisherman,0,2.341675
4,a07:Fisherman,0,1.849889
4,a24:Aquaculture,0,12.875000
4,a08:Fisherman,1,1.849889
4,a09:Fisherman,1,1.849889
4,a34:Aquaculture,0,12.875000
4,a10:Fisherman,1,1.849889
4,a11:Fisherman,1,1.849889
4,a35:Aquaculture,0,12.875000
4,a12:Fisherman,1,1.849889
4,a13:Fisherman,1,1.849889
4,a14:Fisherman,1,1.849889
4,a15:Fisherman,1,2.099889
4,a16:Fisherman,1,1.849889
4,a17:Fisherman,1,1.849889
4,a18:Fisherman,1,2.349889
4,a19:Fisherman,1,2.349889
4,a33:Aquaculture,0,12.875000
4,a32:Aquaculture,0,12.875000
4,a20:Fisherman,1,2.349889
4,a23:Aquaculture,0,12.875000
4,a21:Fisherman,1,2.349889
4,a22:Fisherman,1,1.849889
4,a36:Aquaculture,0,12.875000
4,a26:Aquaculture,0,12.875000
4,a29:Aquaculture,0,12.875000
4,a30:Aquaculture,0,12.875000
4,a37:Aquaculture,0,12.875000
4,a31:Aquaculture,0,12.875000
4,a27:Aquaculture,0,12.875000
4,a25:Aquaculture,0,12.875000
4,a03:Fisherman,1,2.349889
4,a04:Fisherman,1,1.849889
4,a28:Aquaculture,0,12.875000
4,a05:Fisherman,1,2.099889
4,a06:Fisherman,1,2.349889
5,a39:Aquaculture,0,12.875000
5,a42:Aquaculture,0,12.875000
5,a07:Fisherman,0,1.959889
5,a24:Aquaculture,0,12.875000
5,a08:Fisherman,0,1.959889
5,a09:Fisherman,0,1.959889
5,a34:Aquaculture,0,12.875000
5,a10:Fisherman,0,1.959889
5,a11:Fisherman,0,1.959889
5,a35:Aquaculture,0,12.875000
5,a41:Aquaculture,0,12.875000
5,a12:Fisherman,0,1.834889
5,a13:Fisherman,0,1.834889
5,a14:Fisherman,0,1.959889
5,a15:Fisherman,0,1.959889
5,a16:Fisherman,0,1.959889
5,a17:Fisherman,0,1.959889
5,a18:Fisherman,0,2.459889
5,a38:Aquaculture,0,12.875000
5,a19:Fisherman,0,2.459889
5,a33:Aquaculture,0,12.875000
5,a32:Aquaculture,0,12.875000
5,a20:Fisherman,0,2.459889
5,a23:Aquaculture,0,12.875000
5,a21:Fisherman,0,2.459889
5,a22:Fisherman,0,1.959889
5,a36:Aquaculture,0,12.875000
5,a26:Aquaculture,0,12.875000
5,a29:Aquaculture,0,12.875000
5,a30:Aquaculture,0,12.875000
5,a37:Aquaculture,0,12.875000
5,a31:Aquaculture,0,12.875000
5,a27:Aquaculture,0,12.875000
5,a25:Aquaculture,0,12.875000
5,a03:Fisherman,0,2.459889
5,a40:Aquaculture,0,12.875000
5,a04:Fisherman,0,1.959889
5,a28:Aquaculture,0,12.875000
5,a05:Fisherman,0,1.959889
5,a06:Fisherman,0,2.459889
6,a39:Aquaculture,0,12.875000
6,a42:Aquaculture,0,12.875000
6,a07:Fisherman,0,1.949889
6,a24:Aquaculture,0,12.875000
6,a08:Fisherman,0,1.949889
6,a09:Fisherman,0,1.949889
6,a34:Aquaculture,0,12.875000
6,a10:Fisherman,0,1.949889
6,a11:Fisherman,0,1.949889
6,a35:Aquaculture,0,12.875000
6,a41:Aquaculture,0,12.875000
6,a12:Fisherman,0,1.949889
6,a13:Fisherman,0,1.949889
6,a14:Fisherman,0,1.949889
6,a15:Fisherman,0,1.949889
6,a16:Fisherman,0,1.949889
6,a17:Fisherman,0,1.949889
6,a18:Fisherman,0,1.949889
6,a38:Aquaculture,0,12.875000
6,a19:Fisherman,0,2.449889
6,a33:Aquaculture,0,12.875000
6,a32:Aquaculture,0,12.875000
6,a20:Fisherman,0,2.449889
6,a23:Aquaculture,0,12.875000
6,a21:Fisherman,0,2.449889
6,a22:Fisherman,0,1.949889
6,a36:Aquaculture,0,12.875000
6,a26:Aquaculture,0,12.875000
6,a29:Aquaculture,0,12.875000
6,a30:Aquaculture,0,12.875000
6,a37:Aquaculture,0,12.875000
6,a31:Aquaculture,0,12.875000
6,a27:Aquaculture,0,12.875000
6,a25:Aquaculture,0,12.875000
6,a03:Fisherman,0,2.449889
6,a40:Aquaculture,0,12.875000
6,a04:Fisherman,0,1.949889
6,a28:Aquaculture,0,12.875000
6,a05:Fisherman,0,1.949889
6,a06:Fisherman,0,2.199889
7,a39:Aquaculture,0,12.875000
7,a42:Aquaculture,0,12.875000
7,a07:Fisherman,0,1.949889
7,a24:Aquaculture,0,12.875000
7,a08:Fisherman,0,1.949889
7,a09:Fisherman,0,2.199889
7,a34:Aquaculture,0,12.875000
7,a10:Fisherman,0,1.949889
7,a11:Fisherman,0,2.199889
7,a35:Aquaculture,0,12.875000
7,a41:Aquaculture,0,12.875000
7,a12:Fisherman,0,1.949889
7,a13:Fisherman,0,1.949889
7,a14:Fisherman,0,1.949889
7,a15:Fisherman,0,1.949889
7,a16:Fisherman,0,1.949889
7,a17:Fisherman,0,1.949889
7,a18:Fisherman,0,1.949889
7,a38:Aquaculture,0,12.875000
7,a19:Fisherman,0,2.449889
7,a33:Aquaculture,0,12.875000
7,a32:Aquaculture,0,12.875000
7,a20:Fisherman,0,2.449889
7,a23:Aquaculture,0,12.875000
7,a21:Fisherman,0,1.949889
7,a22:Fisherman,0,1.949889
7,a36:Aquaculture,0,12.875000
7,a26:Aquaculture,0,12.875000
7,a29:Aquaculture,0,12.875000
7,a30:Aquaculture,0,12.875000
7,a37:Aquaculture,0,12.875000
7,a31:Aquaculture,0,12.875000
7,a27:Aquaculture,0,12.875000
7,a25:Aquaculture,0,12.875000
7,a03:Fisherman,0,2.449889
7,a40:Aquaculture,0,12.875000
7,a04:Fisherman,0,2.199889
7,a28:Aquaculture,0,12.875000
7,a05:Fisherman,0,1.949889
7,a06:Fisherman,0,1.949889
8,a39:Aquaculture,0,12.875000
8,a42:Aquaculture,0,12.875000
8,a07:Fisherman,0,1.824889
8,a24:Aquaculture,0,12.875000
8,a08:Fisherman,0,2.199889
8,a09:Fisherman,0,1.949889
8,a34:Aquaculture,0,12.875000
8,a10:Fisherman,0,1.949889
8,a11:Fisherman,0,2.449889
8,a35:Aquaculture,0,12.875000
8,a41:Aquaculture,0,12.875000
8,a12:Fisherman,0,1.949889
8,a13:Fisherman,0,1.824889
8,a14:Fisherman,0,1.949889
8,a15:Fisherman,0,1.949889
8,a16:Fisherman,0,1.949889
8,a17:Fisherman,0,1.949889
8,a18:Fisherman,0,1.824889
8,a38:Aquaculture,0,12.875000
8,a19:Fisherman,0,2.449889
8,a33:Aquaculture,0,12.875000
8,a32:Aquaculture,0,12.875000
8,a20:Fisherman,0,2.449889
8,a23:Aquaculture,0,12.875000
8,a21:Fisherman,0,1.949889
8,a22:Fisherman,0,2.449889
